eps:         1.5
min_samples: 5
Silhouette score including outliers: -0.6473111550919418
Silhouette score excluding outliers: -0.16511184955431216

  Cluster ID    Cluster size    Min Dr Scratch    Max Dr Scratch    Min CC    Max CC    Min blocks    Max blocks    Min procedures    Max procedures    Min sprites    Max sprites
         153              14                16                21         2         4           157           160                 0                 3              2              4
         154               5                20                20        13        13           654           655                 7                 7             11             11
         155               5                20                20        55        55          3130          3130                14                14             13             13
         156               8                19                19        49        49          1628          1628                 0                 0             16             16
         157              20                20                20        14        14          1787          1789                20                20             25             25
         158               9                17                19         2         4           291           293                 0                 0              9             11
         159              16                17                17        11        11           680           680                 0                 0             23             23
         160               5                20                20        32        32          3776          3776               126               126             17             17
         161               5                16                19         3         4           410           412                 0                 0             10             12
         162               5                17                17        14        14          3417          3417                 0                 0             48             48
         163              10                16                20         5         8           267           269                 0                 0              7             10
         164               6                19                19        76        76           995           996                 8                 8              8              8
         165              11                18                18         5         5           271           272                 0                 0             13             13
         166               5                16                18         2         3           279           280                 0                 0              7              9
         167               5                19                19        23        23          1337          1337                 0                 0             36             36
         168               3                16                17         7         7            73            74                 0                 0              4              5
         169               6                16                18         4         5           453           454                 0                 0             18             20
         170               7                20                20        11        11          3491          3491                54                54             13             13
         171               5                16                20         2         4           263           265                 0                 1             10             12
         172               8                20                20        16        16           851           853                 0                 0             18             18
         173               5                17                17         5         5          1596          1596                 0                 0             24             24
         174               6                18                18        16        16           737           738                 0                 0             17             18
         175               7                17                17        16        16           204           204                 0                 0              5              5
         176               5                17                17         6         6           446           447                 2                 2             15             15
         177               6                20                20        25        25          1703          1703                 1                 1             37             37
         178               8                17                17        18        18           465           465                 0                 0             19             19
         179               5                16                19         4         6           310           311                 0                 0             11             12
         180               5                18                18        14        14           518           519                 5                 5              2              2
         181              32                20                20         6         6          1300          1301                 0                 0             17             17
         182              11                20                20        29        29          4414          4414                55                55             13             13
         183               6                18                18        10        10          1407          1407                 0                 0             49             49
         184               7                19                19         8         8           762           764                 0                 0             13             13
         185               5                17                17         8         8           221           222                 0                 1              7              9
         186               5                16                16         2         3           205           207                 0                 0             13             14
         187               5                20                20        12        12           468           470                 3                 3              8              9
         188               6                19                19        20        20           394           394                 8                 8             12             12
         189               5                16                19         2         3           330           330                 0                 0             11             12
         190               9                20                20        26        26          4942          4942               102               102             16             16
         191               8                16                19         4         6           284           287                 0                 0             13             15
