  Cluster ID    Cluster size    Min Dr Scratch    Max Dr Scratch    Min CC    Max CC    Min blocks    Max blocks    Min procedures    Max procedures    Min sprites    Max sprites
         150               6                11                16         1         1           308           309                 0                 0             13             15
         151               3                19                19        15        15          1396          1397                 7                 7             39             39
         152               3                10                16         1         2           344           345                 0                 0             22             22
         153               5                18                18        20        20          2901          2901                25                25             51             51
         154              11                13                19         2         3           338           340                 0                 1             10             12
         155               3                15                16         7         7           186           186                 0                 0              8              8
         156               4                13                16         2         2           358           359                 0                 0             21             22
         157               8                 6                13         1         2           190           192                 0                 0             21             22
         158               3                 7                12         5         5           205           205                 0                 0             16             17
         159               3                12                16        14        14           172           172                 0                 0              9             10
         160               3                13                15         3         3           206           206                 0                 0             15             15
         161               7                17                17        21        21           413           414                 0                 0              9              9
         162              10                15                15        19        19           170           171                 0                 0              2              2
         163               3                17                19         5         6           327           327                 0                 0             12             13
         164              10                15                15         2         2          1276          1277                 0                 0             44             44
         165               5                13                19         9        10           177           178                 0                 1              7              8
         166               3                15                15         2         2           219           219                11                11              6              6
         167               5                10                14         1         2           313           315                 0                 0             14             15
         168               8                10                12         1         2           235           238                 0                 0             18             20
         169               8                11                14         1         1           208           209                 0                 0             19             23
         170               6                17                17        17        17           673           673                 0                 0             16             16
         171               5                10                12         3         3            80            81                 0                 0             12             13
         172               4                17                17         2         2           125           126                 6                 6              5              5
         173               6                11                19         1         2           385           387                 0                 0             17             18
         174               3                 6                 8        13        13            39            40                 0                 0              1              1
         175              18                12                12         2         2           502           503                 0                 0             33             33
         176               6                17                17         6         6           350           352                 0                 0             13             13
         177              12                11                18         8        10           180           181                 0                 0              5              8
         178               8                16                16        14        14           621           621                 0                 0             17             17
         179               6                 9                16        19        19           167           168                 0                 0              1              3
         180               9                 6                11         1         2            91            92                 0                 0             19             23
         181              11                13                13        22        22           331           331                 0                 0              1              1
         182               3                13                19         5         5           698           699                 0                 0             15             16
         183               9                 6                13         1         2           441           442                 0                 0             20             21
         184               4                11                15         1         2           382           382                 0                 0             20             21
         185               5                14                19         4         4           262           262                 0                 1              8              9
         186               4                14                19         2         3           370           371                 0                 0             15             15
         187               7                10                16         1         2           384           385                 0                 0             11             14
         188               6                20                20        28        28           686           686                 6                 6             11             11
         189               3                13                16         2         2           467           468                 0                 0             42             42
         190               3                16                17         2         2           284           285                 0                 0             19             19
         191               4                13                16         2         3           276           277                 0                 0             16             16
         192               3                10                11         1         1           367           367                 0                 0             15             15
         193               4                13                13         5         5           897           897                13                13              8              8
         194               6                 9                19         1         2           306           307                 0                 0              9              9
         195               5                 8                12        16        17            75            75                 0                 0              1              2
         196               7                 6                10         1         1           233           236                 0                 0             25             27
         197              13                19                19        16        16           659           661                 1                 1             13             13
         198               9                12                20         5         5           457           459                 0                 0             12             13
         199               3                14                19         6         8           306           306                 1                 1             12             12
         200               4                 6                 8         1         1            55            56                 5                 5              1              1
         201               5                18                18         6         6           828           828                 0                 0             25             25
         202               4                10                10         1         1           396           397                 0                 0              8              8
         203               7                13                17        14        15           151           153                 0                 1              3              5
         204               4                15                17         3         3           326           328                 0                 0              6              7
         205               3                13                15         5         6           237           237                 0                 0             16             16
         206               3                17                17        12        12           527           528                11                11              3              3
         207               8                 9                16        14        15           122           123                 0                 0              2              4
         208               8                19                19        17        17          4219          4219                35                35             14             14
         209               4                 7                13         1         1            65            65                 4                 5              6              7
         210              20                19                19         6         6          1218          1219                 0                 0             38             38
         211               7                 8                16         1         3           257           257                 0                 0             22             24
         212               7                15                17         4         6           351           352                 0                 0              9             10
         213               3                20                20         5         5           251           252                 1                 1             14             14
         214              19                 2                17         1         3           184           186                 0                 0              1              4
         215              10                13                18         8         8           220           222                 0                 1              5              9
